source,target,value
1,1,109
1,2,838
1,3,868
1,4,986
1,5,106
1,6,480
1,7,582
1,8,164
1,9,145
1,10,6
1,11,14
1,12,1282
1,13,24
1,16,2
1,17,42
1,20,691
1,21,54
1,22,4
1,23,16
1,24,31
1,25,12
1,26,385
1,27,586
1,29,85
1,30,19
1,31,71
1,32,289
1,33,24
1,37,458
1,38,53
1,39,44
1,40,28
1,44,42
1,46,34
1,47,10
1,48,94
1,49,52
1,51,67
1,55,70
1,57,15
1,58,61
1,60,10
1,61,112
1,62,323
1,65,19
1,66,297
1,69,149
1,71,11
1,72,82
1,73,174
1,74,25
1,75,9
1,76,28
1,82,3
1,84,10
1,86,21
1,87,70
1,88,48
1,90,5
1,94,4
1,97,4
1,99,4
1,100,31
1,101,39
1,102,22
1,103,77
1,105,44
1,115,63
1,116,571
1,117,93
1,119,14
1,121,136
1,122,8
1,123,32
1,126,22
1,127,7
1,132,10
1,134,17
1,135,20
1,137,41
1,138,22
1,139,23
1,144,3
1,150,35
1,151,437
1,154,3
1,155,5
1,160,22
1,164,152
1,168,12
1,169,164
1,174,288
1,177,63
1,179,5
1,180,25
1,182,23
1,183,11
1,186,30
1,188,8
1,192,216
1,196,19
1,205,22
1,208,7
1,218,68
1,222,5
1,224,41
1,225,47
1,229,6
1,231,12
1,236,35
1,241,142
1,251,3
1,252,33
1,253,49
1,254,14
2,1,1536
2,2,525
2,3,242
2,4,245
2,5,87
2,6,50
2,7,131
2,8,30
2,12,108
2,13,41
2,20,24
2,26,11
2,27,11
2,32,4
2,37,17
2,101,6
2,116,17
2,151,21
2,174,21
2,178,27
2,192,23
2,232,16
2,254,7
3,1,1480
3,2,82
3,3,1141
3,4,1296
3,5,135
3,6,334
3,7,302
3,8,272
3,12,110
3,20,108
3,23,21
3,26,32
3,29,4
3,30,7
3,32,12
3,37,263
3,38,16
3,45,77
3,62,33
3,66,6
3,71,18
3,82,6
3,83,13
3,88,67
3,101,32
3,121,15
3,151,42
3,160,9
3,178,42
3,221,71
3,226,148
3,227,26
3,241,46
3,244,35
3,246,4
3,247,8
3,251,33
3,252,36
4,1,4854
4,2,705
4,3,5930
4,4,8070
4,5,3669
4,6,2788
4,7,1148
4,8,287
4,9,49
4,11,20
4,12,524
4,13,102
4,20,98
4,26,223
4,27,73
4,30,325
4,37,13
4,44,12
4,45,62
4,46,33
4,49,90
4,51,71
4,54,5
4,57,59
4,58,117
4,61,22
4,62,76
4,66,24
4,73,40
4,74,14
4,76,51
4,101,26
4,116,186
4,121,36
4,123,25
4,132,8
4,134,32
4,139,4
4,150,3
4,174,7
4,176,5
4,178,8
4,179,12
4,180,56
4,190,23
4,192,41
4,202,42
4,211,20
4,218,16
4,244,61
4,248,43
4,251,19
4,252,98
4,253,13
4,254,9
5,1,195
5,2,248
5,3,206
5,4,904
5,5,1740
5,6,1624
5,7,158
5,8,123
5,12,8
5,30,84
5,45,12
6,1,1518
6,2,946
6,3,1088
6,4,2558
6,5,10021
6,6,7576
6,7,4163
6,8,418
6,12,669
6,20,41
6,26,445
6,27,6
6,30,8
6,37,22
6,44,87
6,45,30
6,48,33
6,61,18
6,62,54
6,73,71
6,116,41
6,121,17
6,154,47
6,169,39
6,183,26
6,187,24
6,192,61
6,208,11
6,209,5
6,221,12
6,223,3
6,227,11
6,251,23
6,252,53
6,254,9
7,1,810
7,2,229
7,3,234
7,4,472
7,5,414
7,6,2878
7,7,279
7,8,752
7,12,324
7,20,115
7,23,21
7,26,12
7,27,128
7,28,6
7,30,36
7,46,87
7,48,14
7,51,49
7,62,52
7,74,34
7,79,10
7,116,111
7,126,13
7,137,15
7,144,5
7,153,4
7,160,5
7,168,4
7,182,26
7,186,1
7,229,25
7,242,7
7,251,111
7,252,44
8,1,633
8,2,49
8,3,340
8,4,451
8,5,292
8,6,989
8,7,3437
8,8,2604
8,12,162
8,26,7
8,29,21
8,30,41
8,37,61
8,47,13
8,48,6
8,78,4
8,151,30
8,155,5
8,169,10
8,192,25
8,200,40
8,211,4
8,231,35
8,248,13
8,252,8
9,1,762
9,2,26
9,3,2
9,4,19
9,9,366
9,10,6
9,12,1951
9,16,22
9,17,375
9,19,17
9,20,753
9,26,60
9,27,9
9,29,4
9,32,115
9,44,9
9,116,3
9,151,52
10,1,137
10,9,66
10,10,272
10,11,81
10,12,3030
10,17,17
10,20,41
10,66,7
10,174,24
10,186,9
11,1,138
11,4,120
11,6,28
11,9,15
11,11,67
11,12,3013
11,13,5
11,20,9
11,24,221
11,49,27
11,116,8
12,1,2737
12,2,116
12,3,61
12,4,68
12,6,122
12,7,45
12,8,37
12,9,300
12,10,126
12,11,249
12,12,4057
12,13,252
12,14,5
12,16,24
12,17,5
12,20,681
12,21,6
12,23,17
12,24,378
12,27,183
12,30,3
12,32,21
12,37,128
12,38,25
12,50,57
12,55,15
12,61,12
12,62,10
12,66,19
12,68,7
12,74,8
12,76,4
12,86,43
12,103,7
12,116,272
12,126,18
12,134,8
12,139,11
12,140,3
12,142,8
12,144,34
12,151,60
12,156,23
12,169,22
12,174,55
12,178,6
