source,target,value
0,0,109
0,1,838
0,2,868
0,3,986
0,4,106
0,5,480
0,6,582
0,7,164
0,8,145
0,9,6
0,10,14
0,11,1282
0,12,24
0,15,2
0,16,42
0,19,691
0,20,54
0,21,4
0,22,16
0,23,31
0,24,12
0,25,385
0,26,586
0,28,85
0,29,19
0,30,71
0,31,289
0,32,24
0,36,458
0,37,53
0,38,44
0,39,28
0,43,42
0,45,34
0,46,10
0,47,94
0,48,52
0,50,67
0,54,70
0,56,15
0,57,61
0,59,10
0,60,112
0,61,323
0,64,19
0,65,297
0,68,149
0,70,11
0,71,82
0,72,174
0,73,25
0,74,9
0,75,28
0,81,3
0,83,10
0,85,21
0,86,70
0,87,48
0,89,5
0,93,4
0,96,4
0,98,4
0,99,31
0,100,39
0,101,22
0,102,77
0,104,44
0,114,63
0,115,571
0,116,93
0,118,14
0,120,136
0,121,8
0,122,32
0,125,22
0,126,7
0,131,10
0,133,17
0,134,20
0,136,41
0,137,22
0,138,23
0,143,3
0,149,35
0,150,437
0,153,3
0,154,5
0,159,22
0,163,152
0,167,12
0,168,164
0,173,288
0,176,63
0,178,5
0,179,25
0,181,23
0,182,11
0,185,30
0,187,8
0,191,216
0,195,19
0,204,22
0,207,7
0,217,68
0,221,5
0,223,41
0,224,47
0,228,6
0,230,12
0,235,35
0,240,142
0,250,3
0,251,33
0,252,49
0,253,14
1,0,1536
1,1,525
1,2,242
1,3,245
1,4,87
1,5,50
1,6,131
1,7,30
1,11,108
1,12,41
1,19,24
1,25,11
1,26,11
1,31,4
1,36,17
1,100,6
1,115,17
1,150,21
1,173,21
1,177,27
1,191,23
1,231,16
1,253,7
2,0,1480
2,1,82
2,2,1141
2,3,1296
2,4,135
2,5,334
2,6,302
2,7,272
2,11,110
2,19,108
2,22,21
2,25,32
2,28,4
2,29,7
2,31,12
2,36,263
2,37,16
2,44,77
2,61,33
2,65,6
2,70,18
2,81,6
2,82,13
2,87,67
2,100,32
2,120,15
2,150,42
2,159,9
2,177,42
2,220,71
2,225,148
2,226,26
2,240,46
2,243,35
2,245,4
2,246,8
2,250,33
2,251,36
3,0,4854
3,1,705
3,2,5930
3,3,8070
3,4,3669
3,5,2788
3,6,1148
3,7,287
3,8,49
3,10,20
3,11,524
3,12,102
3,19,98
3,25,223
3,26,73
3,29,325
3,36,13
3,43,12
3,44,62
3,45,33
3,48,90
3,50,71
3,53,5
3,56,59
3,57,117
3,60,22
3,61,76
3,65,24
3,72,40
3,73,14
3,75,51
3,100,26
3,115,186
3,120,36
3,122,25
3,131,8
