source,target,value
0,37,13
0,43,8
0,211,134
0,261,10
0,359,10
0,435,2
0,496,56
0,560,5
0,561,47
0,622,14
0,673,4
0,784,5
0,822,9
0,823,270
1,65,230
1,71,10
1,78,40
1,100,8
1,108,10
1,171,48
1,199,5
1,204,55
1,211,22
1,221,3
1,246,87
1,250,3
1,258,21
1,285,25
1,333,73
1,336,11
1,342,5
1,352,3
1,388,11
1,429,16
1,430,9
1,435,2
1,437,10
1,466,54
1,499,14
1,502,18
1,521,5
1,524,249
1,542,74
1,543,17
1,550,45
1,560,9
1,579,15
1,600,23
1,606,87
1,625,19
1,702,62
1,741,3
1,753,6
1,758,3
1,782,6
1,807,17
1,823,40
1,825,19
1,840,4
2,24,24
2,65,175
2,71,62
2,82,11
2,140,26
2,144,20
2,145,27
2,204,35
2,241,8
2,253,13
2,356,13
2,403,5
2,410,72
2,419,80
2,430,13
2,436,26
2,444,5
2,454,83
2,460,11
2,473,129
2,476,10
2,485,6
2,519,10
2,534,7
2,538,9
2,554,1
2,568,21
2,607,28
2,623,7
2,628,80
2,636,14
2,639,14
2,675,20
2,699,34
2,750,11
2,779,72
2,828,11
3,61,15
3,204,21
3,240,11
3,319,10
3,360,10
3,401,2
3,460,167
3,607,19
3,659,6
3,685,3
4,65,83
4,66,99
4,71,63
4,94,6
4,99,7
4,204,45
4,245,16
4,289,12
4,312,27
4,317,17
4,322,6
4,337,10
4,354,11
4,356,275
4,380,25
4,394,19
4,409,7
4,462,5
4,481,7
4,511,189
4,519,8
4,582,27
4,636,14
4,686,11
4,691,12
4,717,6
4,739,5
4,767,9
4,777,9
4,805,8
4,848,11
5,8,17
5,18,7
5,30,22
5,48,35
5,65,85
5,71,10
5,94,7
5,116,15
5,130,6
5,133,276
5,135,5
5,137,6
5,156,11
5,178,4
5,211,22
5,220,2
5,235,3
5,289,3
5,293,9
5,295,21
5,296,10
5,297,6
5,298,6
5,299,40
5,314,39
5,317,40
5,342,125
5,352,15
5,356,21
5,363,3
5,368,11
5,376,80
5,415,30
5,451,85
5,466,5
5,477,21
5,504,14
5,524,286
5,533,21
5,578,6
5,579,34
5,636,28
5,678,67
5,711,19
5,720,37
5,740,10
5,741,3
5,757,20
5,793,15
5,804,10
5,839,21
5,848,14
6,235,10
6,636,9
6,822,30
6,840,5
7,75,24
7,121,18
7,129,5
7,222,34
7,436,9
7,684,15
7,759,11
8,45,36
8,65,306
8,69,41
8,71,54
8,168,2
8,187,35
8,221,36
8,239,55
8,284,14
8,288,23
8,302,40
8,306,9
8,312,3
8,356,60
8,362,6
8,370,55
8,380,30
8,381,5
8,408,27
8,448,78
8,497,12
8,525,37
8,526,52
8,547,4
8,565,44
8,601,8
8,607,8
8,624,6
8,636,23
8,672,32
8,783,15
8,804,170
8,842,28
9,28,18
9,65,130
9,70,9
9,71,12
9,198,23
9,230,3
9,247,30
9,314,8
9,406,7
9,499,114
9,516,10
