origin,destination,count
3100104,3103504,13
3100104,3104007,8
3100104,3119302,134
3100104,3123502,10
3100104,3131604,10
3100104,3138104,2
3100104,3143104,56
3100104,3148004,5
3100104,3148103,47
3100104,3153400,14
3100104,3157708,4
3100104,3166808,5
3100104,3170107,9
3100104,3170206,270
3100203,3106200,230
3100203,3106705,10
3100203,3107406,40
3100203,3109303,8
3100203,3110004,10
3100203,3115607,48
3100203,3118106,5
3100203,3118601,55
3100203,3119302,22
3100203,3120151,3
3100203,3122306,87
3100203,3122470,3
3100203,3123205,21
3100203,3125705,25
3100203,3129509,73
3100203,3129707,11
3100203,3130200,5
3100203,3131000,3
3100203,3134400,11
3100203,3137536,16
3100203,3137601,9
3100203,3138104,2
3100203,3138302,10
3100203,3140506,54
3100203,3143302,14
3100203,3143500,18
3100203,3145000,5
3100203,3145208,249
3100203,3146404,74
3100203,3146503,17
3100203,3147105,45
3100203,3148004,9
3100203,3149705,15
3100203,3151404,23
3100203,3152006,87
3100203,3153707,19
3100203,3160405,62
3100203,3163102,3
3100203,3164308,6
3100203,3164605,3
3100203,3166600,6
3100203,3168903,17
3100203,3170206,40
3100203,3170404,19
3100203,3171105,4
3100302,3102308,24
3100302,3106200,175
3100302,3106705,62
3100302,3107802,11
3100302,3112901,26
3100302,3113305,20
3100302,3113404,27
3100302,3118601,35
3100302,3121803,8
3100302,3122702,13
3100302,3131307,13
3100302,3135506,5
3100302,3136207,72
3100302,3136702,80
3100302,3137601,13
3100302,3138203,26
3100302,3138674,5
3100302,3139409,83
3100302,3140001,11
3100302,3140902,129
3100302,3141207,10
3100302,3142106,6
3100302,3144805,10
3100302,3145851,7
3100302,3146107,9
3100302,3147501,1
3100302,3148756,21
3100302,3152105,28
3100302,3153509,7
3100302,3154002,80
3100302,3154606,14
3100302,3154903,14
3100302,3157906,20
3100302,3160108,34
3100302,3164001,11
3100302,3166303,72
3100302,3170503,11
3100401,3105707,15
3100401,3118601,21
3100401,3121704,11
3100401,3128204,10
3100401,3131703,10
3100401,3135407,2
3100401,3140001,167
3100401,3152105,19
3100401,3156809,6
3100401,3158904,3
3100500,3106200,83
3100500,3106309,99
3100500,3106705,63
3100500,3108800,6
3100500,3109253,7
3100500,3118601,45
3100500,3122207,16
3100500,3126000,12
3100500,3127503,27
3100500,3128006,17
3100500,3128402,6
3100500,3129806,10
3100500,3131158,11
3100500,3131307,275
3100500,3133709,25
3100500,3135001,19
3100500,3136108,7
3100500,3140159,5
3100500,3141702,7
3100500,3144359,189
3100500,3144805,8
3100500,3149952,27
3100500,3154606,14
3100500,3158953,11
3100500,3159357,12
3100500,3161601,6
3100500,3162955,5
3100500,3165503,9
3100500,3166105,9
3100500,3168705,8
3100500,3171808,11
3100609,3100906,17
3100609,3101805,7
3100609,3102852,22
3100609,3104452,35
3100609,3106200,85
3100609,3106705,10
3100609,3108800,7
3100609,3110806,15
3100609,3112059,6
3100609,3112307,276
3100609,3112505,5
3100609,3112653,6
3100609,3114501,11
3100609,3116209,4
3100609,3119302,22
3100609,3120102,2
3100609,3121258,3
3100609,3126000,3
3100609,3126406,9
3100609,3126604,21
3100609,3126703,10
3100609,3126752,6
3100609,3126802,6
3100609,3126901,40
3100609,3127701,39
3100609,3128006,40
3100609,3130200,125
3100609,3131000,15
3100609,3131307,21
3100609,3132008,3
3100609,3132503,11
3100609,3133303,80
3100609,3136553,30
3100609,3139201,85
3100609,3140506,5
3100609,3141306,21
3100609,3143708,14
3100609,3145208,286
3100609,3145802,21
3100609,3149606,6
3100609,3149705,34
3100609,3154606,28
3100609,3158201,67
3100609,3161056,19
3100609,3161809,37
3100609,3163003,10
3100609,3163102,3
3100609,3164506,20
3100609,3167608,15
3100609,3168606,10
3100609,3171071,21
3100609,3171808,14
3100708,3121258,10
3100708,3154606,9
3100708,3170107,30
3100708,3171105,5
3100807,3107109,24
3100807,3111200,18
3100807,3112000,5
3100807,3120201,34
3100807,3138203,9
3100807,3158805,15
3100807,3164704,11
3100906,3104205,36
3100906,3106200,306
3100906,3106606,41
3100906,3106705,54
3100906,3115458,2
3100906,3117108,35
