lot,lat,output,iata,city,
-47.403057,-18.485556,587,3100104,Abadia dos Dourados,
-45.445835,-19.16,1496,3100203,Abaeté,
-42.477501,-20.301111,1193,3100302,Abre Campo,
-43.144726,-20.362501,264,3100401,Acaiaca,
-42.546387,-19.073057,1049,3100500,Açucena,
-42.388889,-17.996111,1708,3100609,Água Boa,
-48.108887,-20.056389,54,3100708,Água Comprida,
-45.39278,-20.942499,116,3100807,Aguanil,
-40.935833,-17.082224,1354,3100906,Águas Formosas,
-41.459999,-15.747223,456,3101003,Águas Vermelhas,
-41.063889,-19.495834,950,3101102,Aimorés,
-44.603054,-21.975555,422,3101201,Aiuruoca,
-44.641945,-22.170555,161,3101300,Alagoa,
-46.615833,-22.200834,23,3101409,Albertina,
-42.704445,-21.887777,1012,3101508,Além Paraíba,
-45.947224,-21.429167,2668,3101607,Alfenas,
-43.776943,-21.145277,130,3101631,Alfredo Vasconcelos,
-40.694447,-16.183611,3054,3101706,Almenara,
-41.97028,-18.974167,364,3101805,Alpercata,
-46.388058,-20.863611,571,3101904,Alpinópolis,
-46.143059,-21.249166,452,3102001,Alterosa,
-41.868332,-20.433332,485,3102050,Alto Caparaó,
-41.966389,-20.423889,656,3153509,Alto Jequitibá,
-43.411392,-21.025833,496,3102100,Alto Rio Doce,
-41.728611,-19.417221,1193,3102209,Alvarenga,
-43.048889,-20.106667,172,3102308,Alvinópolis,
-43.365276,-18.736111,400,3102407,Alvorada de Minas,
-42.802498,-20.507223,795,3102506,Amparo do Serra,
-46.569164,-22.068056,558,3102605,Andradas,
-44.309166,-21.739723,449,3102803,Andrelândia,
-42.162502,-17.602222,374,3102852,Angelândia,
-43.746666,-21.318056,590,3102902,Antônio Carlos,
-42.872219,-19.652777,739,3103009,Antônio Dias,
-42.109444,-21.016111,107,3103108,Antônio Prado de Minas,
-44.248055,-19.19861,317,3103207,Araçaí,
-43.37833,-21.342501,34,3103306,Aracitaba,
-42.070278,-16.849722,1346,3103405,Araçuaí,
-48.187222,-18.647223,2751,3103504,Araguari,
-44.255833,-21.91111,68,3103603,Arantina,
-42.520832,-20.666666,344,3103702,Araponga,
-49.185001,-18.43611,105,3103751,Araporã,
-46.155556,-19.033888,218,3103801,Arapuá,
-45.165558,-19.948055,225,3103900,Araújos,
-46.940556,-19.593334,3755,3104007,Araxá,
-46.940002,-21.364166,148,3104106,Arceburgo,
-45.539444,-20.281944,1411,3104205,Arcos,
-46.145557,-21.358612,471,3104304,Areado,
-42.836109,-21.610001,182,3104403,Argirita,
-42.556942,-17.867222,187,3104452,Aricanduva,
-46.105553,-15.916945,880,3104502,Arinos,
-42.862221,-21.315277,528,3104601,Astolfo Dutra,
-41.109997,-18.043612,791,3104700,Ataléia,
-44.266945,-18.109167,820,3104809,Augusto de Lima,
-44.890003,-21.958889,532,3104908,Baependi,
-43.956944,-19.288332,501,3105004,Baldim,
-45.976944,-20.00639,1064,3105103,Bambuí,
-40.559444,-15.884722,340,3105202,Bandeira,
-46.385834,-21.728056,374,3105301,Bandeira do Sul,
-43.487221,-19.945833,1214,3105400,Barão de Cocais,
-42.237499,-21.245001,258,3105509,Barão de Monte Alto,
-43.773609,-21.225834,4872,3105608,Barbacena,
-43.041111,-20.282778,467,3105707,Barra Longa,
-43.975834,-21.186943,921,3105905,Barroso,
-43.09111,-19.830278,440,3106002,Bela Vista de Minas,
-43.415001,-21.94861,335,3106101,Belmiro Braga,
-43.937778,-19.920834,169803,3106200,Belo Horizonte,
-42.483612,-19.220001,1112,3106309,Belo Oriente,
-44.024445,-20.407778,369,3106408,Belo Vale,
-42.465557,-16.951668,505,3106507,Berilo,
-41.744999,-15.613334,249,3106655,Berizal,
-40.574444,-17.063055,156,3106606,Bertópolis,
-44.198334,-19.967779,14628,3106705,Betim,
