origin,destination,count
3100104,3119302,38
3100104,3131604,3
3100104,3148004,5
3100104,3148103,47
3100104,3166808,5
3100104,3170206,16
3100104,3123502,2
3100104,3143104,19
3100104,3162203,4
3100104,3170107,10
3100104,3170206,18
3100203,3106705,10
3100203,3107406,20
3100203,3115607,10
3100203,3125705,4
3100203,3129509,73
3100203,3145208,25
3100203,3146404,11
3100203,3149705,12
3100203,3151404,12
3100203,3152006,27
3100203,3160405,9
3100203,3107406,28
3100203,3115607,10
3100203,3118601,66
3100203,3122306,21
3100203,3122470,9
3100203,3123205,5
3100203,3131109,2
3100203,3132107,5
3100203,3134608,3
3100203,3136207,8
3100203,3140506,13
3100203,3140704,8
3100203,3141108,12
3100203,3143500,4
3100203,3145000,12
3100203,3145208,9
3100203,3145802,5
3100203,3146404,14
3100203,3153707,4
3100203,3154457,6
3100203,3154606,9
3100203,3156700,7
3100203,3161601,19
3100203,3161700,3
3100203,3161809,8
3100203,3162922,18
3100203,3167202,9
3100203,3168903,3
3100203,3170404,6
3100302,3107802,5
3100302,3112901,19
3100302,3152105,28
3100302,3154903,12
3100302,3157906,5
3100302,3109253,3
3100302,3112505,6
3100302,3112901,7
3100302,3118601,11
3100302,3127305,2
3100302,3129806,16
3100302,3135506,5
3100302,3136603,6
3100302,3139409,26
3100302,3139508,10
3100302,3140902,11
3100302,3146107,9
3100302,3149002,2
3100302,3152105,11
3100302,3154002,53
3100401,3152105,11
3100401,3158904,3
3100401,3106200,51
3100401,3157807,8
3100401,3172004,15
3100500,3106200,24
3100500,3128402,6
3100500,3131307,15
3100500,3144805,8
3100500,3158953,11
3100500,3161601,2
3100500,3166105,9
3100500,3168705,8
3100500,3171808,6
3100500,3106705,9
3100500,3118304,10
3100500,3124104,10
3100500,3127503,11
3100500,3128253,2
3100500,3131307,31
3100500,3144359,11
3100500,3154606,14
3100500,3158953,39
3100500,3161601,9
3100609,3102852,18
3100609,3106200,22
3100609,3112307,9
3100609,3126703,10
3100609,3127701,10
3100609,3136553,19
3100609,3139201,10
3100609,3145208,14
3100609,3149705,3
3100609,3164506,12
3100609,3168606,10
3100609,3104452,1
3100609,3104700,25
3100609,3106200,20
3100609,3106705,11
3100609,3112307,16
3100609,3116209,2
3100609,3121258,3
3100609,3126000,5
3100609,3126901,6
3100609,3127701,8
3100609,3136553,9
3100609,3145208,73
3100609,3149309,25
3100609,3154606,25
3100609,3158201,29
3100609,3164308,7
3100609,3164506,11
3100609,3171204,17
3100609,3171501,2
3100708,3121258,10
3100708,3154606,9
3100708,3171105,5
3100807,3112000,5
3100807,3107109,13
3100807,3111200,24
3100807,3138203,9
3100807,3164704,11
3100906,3106200,21
3100906,3120151,7
3100906,3121605,55
3100906,3125606,6
3100906,3127305,3
3100906,3133758,5
3100906,3138906,10
3100906,3145307,37
3100906,3157658,3
3100906,3166709,4
3100906,3168606,26
3100906,3106408,4
3100906,3106705,11
3100906,3114907,8
3100906,3118601,34
3100906,3131307,11
3100906,3137007,7
3100906,3138906,12
3100906,3145208,26
3100906,3145356,7
3100906,3148509,5
3100906,3154507,4
3100906,3154606,8
3100906,3158953,23
3101003,3145802,12
3101003,3157005,11
3101003,3106655,6
3101003,3106705,12
3101102,3106705,8
3101102,3131208,5
3101102,3134103,10
3101102,3145356,27
3101102,3154606,60
3101102,3156700,37
3101102,3108602,10
3101102,3118601,15
3101102,3134103,15
3101102,3136702,22
3101102,3140704,18
3101102,3145802,2
3101102,3154606,6
3101102,3161007,6
3101102,3167608,5
3101102,3168606,12
3101201,3104908,20
3101201,3114808,11
3101201,3115508,14
3101201,3138203,7
3101201,3139102,6
3101201,3149101,4
3101201,3163706,9
3101201,3164902,4
3101201,3165206,3
3101201,3167004,2
3101300,3133006,13
3101300,3141603,6
3101300,3137502,15
3101300,3147600,5
3101300,3170206,88
3101409,3165800,3
3101508,3104403,3
3101508,3106200,33
3101508,3124609,3
3101508,3139805,5
3101508,3160009,12
3101508,3165602,4
3101508,3132206,11
3101508,3136702,21
3101508,3139805,7
3101508,3151305,4
3101508,3165602,10
3101508,3172103,4
3101607,3101904,6
3101607,3102001,41
3101607,3106200,59
3101607,3106804,3
3101607,3110905,4
3101607,3111200,11
3101607,3114006,8
3101607,3116506,10
3101607,3117900,4
3101607,3120870,3
3101607,3122405,9
3101607,3124203,11
3101607,3125200,7
3101607,3128709,51
3101607,3130408,10
3101607,3133303,8
3101607,3135209,10
3101607,3136959,3
3101607,3138203,53
3101607,3139003,36
3101607,3143302,30
3101607,3144102,9
3101607,3146008,29
3101607,3147303,5
3101607,3147907,12
3101607,3151503,12
3101607,3151701,6
3101607,3151800,32
3101607,3152105,11
3101607,3152170,5
3101607,3152501,22
3101607,3154606,10
3101607,3164308,3
3101607,3165008,4
3101607,3166907,7
3101607,3169307,12
3101607,3169356,9
3101607,3170701,9
3101607,3102001,8
3101607,3104304,5
3101607,3110301,10
3101607,3111309,4
3101607,3111606,7
3101607,3114402,7
3101607,3118700,4
3101607,3120805,6
3101607,3124906,4
3101607,3125200,7
3101607,3128303,5
3101607,3136900,5
3101607,3138203,12
3101607,3139003,35
3101607,3139904,5
3101607,3144607,21
3101607,3147204,44
3101607,3151800,31
3101607,3152501,101
3101607,3154200,5
3101607,3164407,2
3101607,3168606,10
3101607,3169406,14
3101607,3170701,42
3101631,3105608,20
3101631,3113206,45
3101631,3145703,2
3101631,3154408,17
3101631,3159407,5
3101631,3166204,31
3101706,3105103,9
3101706,3105202,6
3101706,3105400,32
3101706,3106200,78
3101706,3118601,21
3101706,3120904,8
3101706,3127057,2
3101706,3131307,14
3101706,3134707,5
3101706,3140555,2
3101706,3154606,180
3101706,3156601,6
3101706,3158102,3
3101706,3168606,20
3101706,3106200,19
3101706,3109501,5
3101706,3118601,67
3101706,3122454,5
3101706,3124104,10
3101706,3125606,6
3101706,3127701,10
3101706,3129806,37
3101706,3132404,10
3101706,3133303,11
3101706,3134707,11
3101706,3138906,8
3101706,3143302,39
3101706,3146750,5
3101706,3152105,24
3101706,3152170,3
3101706,3154606,53
3101706,3157104,2
3101706,3157807,6
3101706,3164605,2
3101805,3112653,9
3101805,3125804,3
3101805,3127701,34
3101805,3113404,10
3101805,3125804,17
3101805,3127701,14
3101805,3140100,3
3101805,3161650,10
3101805,3162609,5
3101904,3127339,3
3101904,3147907,12
3101904,3162948,32
3101904,3112802,3
3101904,3126307,3
3101904,3162948,3
3101904,3170107,9
3102001,3101607,9
3102001,3113909,6
3102001,3124906,4
3102001,3101607,61
3102001,3117108,4
3102001,3122405,9
3102050,3112109,24
3102050,3138674,21
3102050,3139409,42
3102050,3153509,19
3102050,3169901,7
3102050,3130556,3
3102050,3153509,29
3102100,3105608,12
3102100,3105905,8
3102100,3121506,2
3102100,3167301,1
3102100,3129806,6
3102100,3141603,6
3102100,3154606,7
3102100,3157278,4
3102100,3159100,4
3102209,3106200,73
3102209,3122108,4
3102209,3127701,18
3102209,3145208,9
3102209,3160959,8
3102209,3118601,63
3102209,3122108,3
3102209,3127370,8
3102209,3139409,17
3102209,3141504,3
3102209,3157807,16
3102209,3159506,4
3102209,3168408,26
3102308,3105400,19
3102308,3105707,4
3102308,3122702,3
3102308,3131307,27
3102308,3136207,11
3102308,3155702,22
3102308,3165560,4
3102308,3168705,9
3102308,3171303,12
3102308,3106200,17
3102308,3110004,12
3102308,3115359,5
3102308,3124104,19
3102308,3131307,10
3102308,3132404,64
3102308,3136207,13
3102308,3136652,8
3102308,3138609,5
3102308,3140001,12
3102308,3155702,11
3102308,3156700,8
3102308,3157203,14
3102308,3158953,9
3102308,3161007,5
3102407,3104502,5
3102407,3143153,4
3102407,3110103,3
3102407,3113305,15
3102407,3117504,4
3102407,3137601,8
3102407,3149002,2
3102506,3118601,46
3102506,3141108,16
3102506,3156700,15
3102506,3100302,4
3102506,3152105,21
3102506,3168507,11
3102506,3171303,10
3102605,3129905,14
3102605,3151800,12
3102605,3166402,3
3102605,3152501,8
3102605,3169307,20
3102704,3106705,8
3102704,3115474,3
3102704,3120870,18
3102704,3120870,13
3102704,3122355,1
3102704,3122454,5
3102704,3157005,11
3102704,3157377,16
3102704,3167202,55
3102803,3103603,2
3102803,3107406,25
3102803,3110202,5
3102803,3141900,1
3102803,3158706,4
3102803,3165305,2
3102803,3138500,6
3102803,3139102,4
3102803,3151800,13
3102803,3162005,36
3102803,3165305,21
3102852,3106705,7
3102852,3100609,6
3102852,3104452,10
3102852,3141801,55
3102852,3144805,13
3102852,3145208,9
