source,target,value
11001,11001,109
11001,11002,838
11001,11003,868
11001,11004,986
11001,11005,106
11001,11006,480
11001,11007,582
11001,11008,164
11001,12001,145
11001,12002,6
11001,12003,14
11001,12004,1282
11001,12005,24
11001,13003,2
11001,13004,42
11001,13007,691
11001,13008,54
11001,13009,4
11001,13010,16
11001,13011,31
11001,13012,12
11001,13013,385
11001,14001,586
11001,14003,85
11001,14004,19
11001,15001,71
11001,15002,289
11001,15003,24
11001,15007,458
11001,15008,53
11001,15009,44
11001,15010,28
11001,15014,42
11001,15016,34
11001,15017,10
11001,15018,94
11001,15019,52
11001,15021,67
11001,16003,70
11001,17001,15
11001,17002,61
11001,17004,10
11001,17005,112
11001,17006,323
11001,21001,19
11001,21002,297
11001,21005,149
11001,21007,11
11001,21008,82
11001,21009,174
11001,21010,25
11001,21011,9
11001,21012,28
11001,21018,3
11001,21020,10
11001,22001,21
11001,22002,70
11001,22003,48
11001,22005,5
11001,22009,4
11001,22012,4
11001,22014,4
11001,22015,31
11001,23001,39
11001,23002,22
11001,23003,77
11001,23005,44
11001,23015,63
11001,23016,571
11001,23017,93
11001,23019,14
11001,23021,136
11001,23022,8
11001,23023,32
11001,23026,22
11001,23027,7
11001,23032,10
11001,24001,17
11001,24002,20
11001,24004,41
11001,24005,22
11001,24006,23
11001,24011,3
11001,24017,35
11001,24018,437
11001,25002,3
11001,25003,5
11001,25008,22
11001,25012,152
11001,25016,12
11001,25017,164
11001,25022,288
11001,26002,63
11001,26004,5
11001,26005,25
11001,26007,23
11001,26008,11
11001,26011,30
11001,26013,8
11001,26017,216
11001,27002,19
11001,27011,22
11001,28001,7
11001,28011,68
11001,29002,5
11001,29004,41
11001,29005,47
11001,29009,6
11001,29011,12
11001,29016,35
11001,29021,142
11001,29031,3
11001,29032,33
11001,31001,49
11001,31002,14
11002,11001,1536
11002,11002,525
11002,11003,242
11002,11004,245
11002,11005,87
11002,11006,50
11002,11007,131
11002,11008,30
11002,12004,108
11002,12005,41
11002,13007,24
11002,13013,11
11002,14001,11
11002,15002,4
11002,15007,17
11002,23001,6
11002,23016,17
11002,24018,21
11002,25022,21
11002,26003,27
11002,26017,23
11002,29012,16
11002,31002,7
11003,11001,1480
11003,11002,82
11003,11003,1141
11003,11004,1296
11003,11005,135
11003,11006,334
11003,11007,302
11003,11008,272
11003,12004,110
11003,13007,108
11003,13010,21
11003,13013,32
11003,14003,4
11003,14004,7
11003,15002,12
11003,15007,263
11003,15008,16
11003,15015,77
11003,17006,33
11003,21002,6
11003,21007,18
11003,21018,6
11003,21019,13
11003,22003,67
11003,23001,32
11003,23021,15
11003,24018,42
11003,25008,9
11003,26003,42
11003,29001,71
11003,29006,148
11003,29007,26
11003,29021,46
11003,29024,35
11003,29026,4
11003,29027,8
11003,29031,33
11003,29032,36
11004,11001,4854
11004,11002,705
11004,11003,5930
11004,11004,8070
11004,11005,3669
11004,11006,2788
11004,11007,1148
11004,11008,287
11004,12001,49
11004,12003,20
11004,12004,524
11004,12005,102
11004,13007,98
11004,13013,223
11004,14001,73
11004,14004,325
11004,15007,13
11004,15014,12
11004,15015,62
11004,15016,33
11004,15019,90
11004,15021,71
11004,16002,5
11004,17001,59
11004,17002,117
11004,17005,22
11004,17006,76
11004,21002,24
11004,21009,40
11004,21010,14
11004,21012,51
11004,23001,26
11004,23016,186
11004,23021,36
11004,23023,25
11004,23032,8
11004,24001,32
11004,24006,4
11004,24017,3
11004,25022,7
11004,26001,5
11004,26003,8
11004,26004,12
11004,26005,56
11004,26015,23
11004,26017,41
11004,27008,42
11004,28004,20
11004,28011,16
11004,29024,61
11004,29028,43
11004,29031,19
11004,29032,98
11004,31001,13
11004,31002,9
11005,11001,195
11005,11002,248
11005,11003,206
11005,11004,904
11005,11005,1740
11005,11006,1624
11005,11007,158
11005,11008,123
11005,12004,8
11005,14004,84
11005,15015,12
11006,11001,1518
11006,11002,946
11006,11003,1088
11006,11004,2558
11006,11005,10021
11006,11006,7576
11006,11007,4163
11006,11008,418
11006,12004,669
11006,13007,41
11006,13013,445
11006,14001,6
11006,14004,8
11006,15007,22
11006,15014,87
11006,15015,30
11006,15018,33
11006,17005,18
11006,17006,54
11006,21009,71
11006,23016,41
11006,23021,17
11006,25002,47
11006,25017,39
11006,26008,26
11006,26012,24
11006,26017,61
11006,28001,11
11006,28002,5
11006,29001,12
11006,29003,3
11006,29007,11
11006,29031,23
11006,29032,53
11006,31002,9
11007,11001,810
11007,11002,229
11007,11003,234
11007,11004,472
11007,11005,414
11007,11006,2878
11007,11007,279
11007,11008,752
11007,12004,324
11007,13007,115
11007,13010,21
11007,13013,12
11007,14001,128
11007,14002,6
11007,14004,36
11007,15016,87
11007,15018,14
11007,15021,49
11007,17006,52
11007,21010,34
11007,21015,10
11007,23016,111
11007,23026,13
11007,24004,15
11007,24011,5
11007,25001,4
11007,25008,5
11007,25016,4
11007,26007,26
11007,26011,1
11007,29009,25
11007,29022,7
11007,29031,111
11007,29032,44
11008,11001,633
11008,11002,49
11008,11003,340
11008,11004,451
11008,11005,292
11008,11006,989
11008,11007,3437
11008,11008,2604
11008,12004,162
11008,13013,7
11008,14003,21
11008,14004,41
11008,15007,61
11008,15017,13
11008,15018,6
11008,21014,4
11008,24018,30
11008,25003,5
11008,25017,10
11008,26017,25
11008,27006,40
11008,28004,4
11008,29011,35
11008,29028,13
11008,29032,8
12001,11001,762
12001,11002,26
12001,11003,2
12001,11004,19
12001,12001,366
12001,12002,6
12001,12004,1951
12001,13003,22
12001,13004,375
12001,13006,17
12001,13007,753
12001,13013,60
12001,14001,9
12001,14003,4
12001,15002,115
12001,15014,9
12001,23016,3
12001,24018,52
12002,11001,137
12002,12001,66
12002,12002,272
12002,12003,81
12002,12004,3030
12002,13004,17
12002,13007,41
12002,21002,7
12002,25022,24
12002,26011,9
12003,11001,138
12003,11004,120
12003,11006,28
12003,12001,15
12003,12003,67
12003,12004,3013
12003,12005,5
12003,13007,9
12003,13011,221
12003,15019,27
12003,23016,8
12004,11001,2737
12004,11002,116
12004,11003,61
12004,11004,68
12004,11006,122
12004,11007,45
12004,11008,37
12004,12001,300
12004,12002,126
12004,12003,249
12004,12004,4057
12004,12005,252
12004,13001,5
12004,13003,24
12004,13004,5
12004,13007,681
12004,13008,6
12004,13010,17
12004,13011,378
12004,14001,183
12004,14004,3
12004,15002,21
12004,15007,128
12004,15008,25
12004,15020,57
12004,16003,15
12004,17005,12
12004,17006,10
12004,21002,19
12004,21004,7
12004,21010,8
12004,21012,4
12004,22001,43
12004,23003,7
12004,23016,272
12004,23026,18
12004,24001,8
12004,24006,11
12004,24007,3
12004,24009,8
12004,24011,34
12004,24018,60
12004,25004,23
12004,25017,22
12004,25022,55
12004,26003,6
12004,26005,10
12004,26017,34
12004,28011,51
12004,29021,33
12004,29028,9
12004,29029,8
12004,31001,86
12005,11001,464
12005,11003,17
12005,11006,35
12005,12001,8
12005,12002,53
12005,12003,3
12005,12004,2332
12005,12005,145
12005,13007,22
12005,13010,21
12005,14004,64
12005,15013,10
12005,23016,29
12005,26009,14
12005,26011,17
12005,26017,9
13001,13001,208
13001,13002,8
13001,13003,11
13001,13007,725
13001,13008,7
13001,13009,84
13001,13010,10
13001,14003,10
13001,14004,5
13001,21005,19
13001,28011,63
13001,29020,5
13002,13002,60
13002,13003,11
13002,13004,5
13002,13005,54
13002,13007,125
13002,14001,33
13002,15007,17
13003,11001,3
13003,12004,6
13003,13002,71
13003,13003,1226
13003,13005,507
13003,13006,29
13003,13007,2498
13003,13008,16
13003,13009,39
13003,13011,18
13003,15001,8
13003,15002,44
13003,15007,12
13003,15020,90
13003,15022,9
13003,23016,8
13003,26017,3
13004,11001,11
13004,12001,135
13004,12002,115
13004,12004,43
13004,13002,17
13004,13003,101
13004,13004,401
13004,13005,62
13004,13006,144
13004,13007,1062
13004,13008,23
13004,13010,39
13004,13012,37
13004,13013,87
13004,14003,24
13004,15007,15
13004,17006,3
13004,21011,8
13005,11001,9
13005,12001,28
13005,13002,138
13005,13003,92
13005,13004,19
13005,13005,169
13005,13006,84
13005,13007,1631
13005,13008,3
13005,13009,28
13005,13013,20
13005,15001,18
13005,15007,10
13005,15015,5
13005,16003,18
13005,17005,13
13005,22003,17
13005,22005,14
13006,13002,81
13006,13003,11
13006,13004,8
13006,13005,144
13006,13006,522
13006,13007,4928
13006,13009,11
13006,13010,10
13006,14001,4
13006,14003,9
13006,15002,13
13006,15007,21
13007,11001,2037
13007,11002,40
13007,11004,115
13007,11005,7
13007,11006,77
13007,11007,69
13007,12001,104
13007,12002,48
13007,12003,36
13007,12004,950
13007,13001,497
13007,13002,112
13007,13003,396
13007,13004,95
13007,13005,243
13007,13006,1112
13007,13007,8934
13007,13008,1707
13007,13009,1903
13007,13010,1644
13007,13011,104
13007,13012,108
13007,13013,442
13007,14001,2331
13007,14002,24
13007,14003,239
13007,14004,163
13007,15001,834
13007,15002,1439
13007,15003,5
13007,15005,7
13007,15007,2563
13007,15008,140
13007,15009,19
13007,15010,114
13007,15011,22
13007,15013,80
13007,15014,171
13007,15015,50
13007,15017,19
13007,15018,13
13007,15019,55
13007,15020,48
13007,16001,8
13007,16003,191
13007,16004,23
13007,17001,31
13007,17002,40
13007,17003,42
13007,17004,11
13007,17005,28
13007,21001,7
13007,21002,382
13007,21003,9
13007,21005,60
13007,21007,9
13007,21008,165
13007,21009,45
13007,21010,102
13007,21018,30
13007,22001,8
