iata,city,state,latitude,longitude,cod_meso,meso,cod_micro,micro,saldo_data_fixa,output_data_fixa,input_data_fixa,rate_ue,output_ue,input_ue
3100104,Abadia dos Dourados,MG,-18.485556,-47.403057,3105,Triângulo Mineiro/Alto Paranaíba,31019,Patrocínio,-209,587,378,-219,601,382
3100203,Abaeté,MG,-19.16,-45.445835,3106,Central Mineira,31024,Três Marias,-165,1496,1331,-412,1921,1509
3100302,Abre Campo,MG,-20.301111,-42.477501,3112,Zona da Mata,31061,Manhuaçu,-258,1193,935,-594,1633,1039
3100401,Acaiaca,MG,-20.362501,-43.144726,3112,Zona da Mata,31060,Ponte Nova,12,264,276,-162,472,310
3100500,Açucena,MG,-19.073057,-42.546387,3108,Vale do Rio Doce,31039,Ipatinga,-738,1049,311,-764,1163,399
3100609,Água Boa,MG,-17.996111,-42.388889,3108,Vale do Rio Doce,31036,Peçanha,-1281,1708,427,-1619,2085,466
3100708,Água Comprida,MG,-20.056389,-48.108887,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,87,54,141,123,30,153
3100807,Aguanil,MG,-20.942499,-45.39278,3109,Oeste de Minas,31045,Campo Belo,152,116,268,134,184,318
3100906,Águas Formosas,MG,-17.082224,-40.935833,3104,Vale do Mucuri,31016,Nanuque,-419,1354,935,-348,1447,1099
3101003,Águas Vermelhas,MG,-15.747223,-41.459999,3102,Norte de Minas,31005,Salinas,-213,456,243,-224,504,280
3101102,Aimorés,MG,-19.495834,-41.063889,3108,Vale do Rio Doce,31041,Aimorés,-100,950,850,-136,1112,976
3101201,Aiuruoca,MG,-21.975555,-44.603054,3110,Sul/Sudoeste de Minas,31055,Andrelândia,-107,422,315,-130,494,364
3101300,Alagoa,MG,-22.170555,-44.641945,3110,Sul/Sudoeste de Minas,31054,São Lourenço,-94,161,67,-221,303,82
3101409,Albertina,MG,-22.200834,-46.615833,3110,Sul/Sudoeste de Minas,31051,Poços de Caldas,66,23,89,80,30,110
3101508,Além Paraíba,MG,-21.887777,-42.704445,3112,Zona da Mata,31066,Cataguases,-436,1012,576,-397,1096,699
3101607,Alfenas,MG,-21.429167,-45.947224,3110,Sul/Sudoeste de Minas,31049,Alfenas,922,2668,3590,925,3110,4035
3101631,Alfredo Vasconcelos,MG,-21.145277,-43.776943,3111,Campo das Vertentes,31059,Barbacena,330,130,460,289,209,498
3101706,Almenara,MG,-16.183611,-40.694447,3103,Jequitinhonha,31014,Almenara,-1099,3054,1955,-1160,3447,2287
3101805,Alpercata,MG,-18.974167,-41.97028,3108,Vale do Rio Doce,31037,Governador Valadares,341,364,705,294,471,765
3101904,Alpinópolis,MG,-20.863611,-46.388058,3110,Sul/Sudoeste de Minas,31047,Passos,163,571,734,48,756,804
3102001,Alterosa,MG,-21.249166,-46.143059,3110,Sul/Sudoeste de Minas,31049,Alfenas,138,452,590,55,601,656
3102050,Alto Caparaó,MG,-20.433332,-41.868332,3112,Zona da Mata,31061,Manhuaçu,150,485,635,196,553,749
3153509,Alto Jequitibá,MG,-20.423889,-41.966389,3112,Zona da Mata,31061,Manhuaçu,-479,656,177,-497,713,216
3102100,Alto Rio Doce,MG,-21.025833,-43.411392,3112,Zona da Mata,31062,Viçosa,-430,496,66,-540,628,88
3102209,Alvarenga,MG,-19.417221,-41.728611,3108,Vale do Rio Doce,31041,Aimorés,-677,1193,516,-818,1492,674
3102308,Alvinópolis,MG,-20.106667,-43.048889,3107,Metropolitana de Belo Horizonte,31031,Itabira,-105,172,67,-128,213,85
3102407,Alvorada de Minas,MG,-18.736111,-43.365276,3107,Metropolitana de Belo Horizonte,31028,Conceição do Mato Dentro,-217,400,183,-215,418,203
3102506,Amparo do Serra,MG,-20.507223,-42.802498,3112,Zona da Mata,31062,Viçosa,135,795,930,93,923,1016
3102605,Andradas,MG,-22.068056,-46.569164,3110,Sul/Sudoeste de Minas,31051,Poços de Caldas,-259,558,299,-357,673,316
3102803,Andrelândia,MG,-21.739723,-44.309166,3110,Sul/Sudoeste de Minas,31055,Andrelândia,-47,449,402,-60,564,504
3102852,Angelândia,MG,-17.602222,-42.162502,3103,Jequitinhonha,31011,Capelinha,55,374,429,93,469,562
3102902,Antônio Carlos,MG,-21.318056,-43.746666,3111,Campo das Vertentes,31059,Barbacena,1,590,591,-65,803,738
3103009,Antônio Dias,MG,-19.652777,-42.872219,3108,Vale do Rio Doce,31039,Ipatinga,-341,739,398,-323,804,481
3103108,Antônio Prado de Minas,MG,-21.016111,-42.109444,3112,Zona da Mata,31063,Muriaé,-40,107,67,-7,124,117
3103207,Araçaí,MG,-19.19861,-44.248055,3107,Metropolitana de Belo Horizonte,31027,Sete Lagoas,-4,317,313,-62,408,346
