lot,lat,axis,uf,value
-66.8830,-9.8280,Acrelândia,AC,1438
-69.5670,-10.9410,Assis Brasil,AC,5675
-68.7480,-11.0100,Brasiléia,AC,5029
-67.9520,-9.8310,Bujari,AC,3442
-67.6760,-10.5730,Capixaba,AC,6622
-72.6700,-7.6310,Cruzeiro do Sul,AC,7634
-68.7410,-11.0290,Epitaciolândia,AC,1760
-70.3540,-8.1640,Feijó,AC,8599
-71.8840,-9.4340,Jordão,AC,5259
-72.8960,-7.6140,Mâncio Lima,AC,4014
-69.2600,-8.8390,Manoel Urbano,AC,5847
-72.7920,-8.9410,Marechal Thaumaturgo,AC,9565
-67.1500,-10.2760,Plácido de Castro,AC,1103
-67.5330,-9.5880,Porto Acre,AC,47
-72.7440,-8.2690,Porto Walter,AC,299
-67.8100,-9.9750,Rio Branco,AC,1481
-72.6470,-7.7420,Rodrigues Alves,AC,7802
-70.4930,-9.4330,Santa Rosa do Purus,AC,2345
-68.6570,-9.0660,Sena Madureira,AC,5314
-67.7360,-10.1510,Senador Guiomard,AC,2192
-70.7660,-8.1610,Tarauacá,AC,9562
-68.5040,-10.6520,Xapuri,AC,8573
-37.9380,-9.2620,Água Branca,AL,8767
-36.3040,-9.6840,Anadia,AL,707
-36.6610,-9.7520,Arapiraca,AL,9321
-36.0230,-9.5020,Atalaia,AL,9033
-35.5070,-9.4050,Barra de Santo Antônio,AL,5066
-35.9080,-9.8400,Barra de São Miguel,AL,7562
-37.1250,-9.6780,Batalha,AL,951
-36.4920,-9.5710,Belém,AL,9251
-37.2800,-9.8280,Belo Monte,AL,2062
-36.2200,-9.6410,Boca da Mata,AL,5965
-36.0150,-9.2460,Branquinha,AL,2409
-36.9900,-9.4000,Cacimbinhas,AL,7460
-36.1540,-9.3970,Cajueiro,AL,8981
-35.5680,-8.8460,Campestre,AL,7474
-36.3510,-9.7820,Campo Alegre,AL,7003
-36.7920,-9.9580,Campo Grande,AL,5894
-37.6050,-9.1270,Canapi,AL,6898
-36.0740,-9.4080,Capela,AL,4366
-37.3770,-9.4830,Carneiros,AL,1057
-36.2960,-9.2550,Chã Preta,AL,7863
-36.5790,-9.6320,Coité do Nóia,AL,9193
-35.7250,-8.9090,Colônia Leopoldina,AL,3907
-35.8030,-9.6380,Coqueiro Seco,AL,7137
-36.1760,-10.1260,Coruripe,AL,7244
-36.7680,-9.6180,Craíbas,AL,7131
-37.9960,-9.3860,Delmiro Gouveia,AL,2851
-37.1010,-9.3930,Dois Riachos,AL,8766
