lot,lat,name,uf,output
-66.883,-9.828,Acrelândia,AC,1438
-69.567,-10.941,Assis Brasil,AC,5675
-68.748,-11.01,Brasiléia,AC,5029
-67.952,-9.831,Bujari,AC,3442
-67.676,-10.573,Capixaba,AC,6622
-72.67,-7.631,Cruzeiro do Sul,AC,7634
-68.741,-11.029,Epitaciolândia,AC,1760
-70.354,-8.164,Feijó,AC,8599
-71.884,-9.434,Jordão,AC,5259
-72.896,-7.614,Mâncio Lima,AC,4014
-69.26,-8.839,Manoel Urbano,AC,5847
-72.792,-8.941,Marechal Thaumaturgo,AC,9565
-67.15,-10.276,Plácido de Castro,AC,1103
-67.533,-9.588,Porto Acre,AC,47
-72.744,-8.269,Porto Walter,AC,299
-67.81,-9.975,Rio Branco,AC,1481
-72.647,-7.742,Rodrigues Alves,AC,7802
-70.493,-9.433,Santa Rosa do Purus,AC,2345
-68.657,-9.066,Sena Madureira,AC,5314
-67.736,-10.151,Senador Guiomard,AC,2192
-70.766,-8.161,Tarauacá,AC,9562
-68.504,-10.652,Xapuri,AC,8573
-37.938,-9.262,Água Branca,AL,8767
-36.304,-9.684,Anadia,AL,707
-36.661,-9.752,Arapiraca,AL,9321
-36.023,-9.502,Atalaia,AL,9033
-35.507,-9.405,Barra de Santo Antônio,AL,5066
-35.908,-9.84,Barra de São Miguel,AL,7562
-37.125,-9.678,Batalha,AL,951
-36.492,-9.571,Belém,AL,9251
-37.28,-9.828,Belo Monte,AL,2062
-36.22,-9.641,Boca da Mata,AL,5965
-36.015,-9.246,Branquinha,AL,2409
-36.99,-9.4,Cacimbinhas,AL,7460
-36.154,-9.397,Cajueiro,AL,8981
-35.568,-8.846,Campestre,AL,7474
-36.351,-9.782,Campo Alegre,AL,7003
-36.792,-9.958,Campo Grande,AL,5894
-37.605,-9.127,Canapi,AL,6898
-36.074,-9.408,Capela,AL,4366
-37.377,-9.483,Carneiros,AL,1057
-36.296,-9.255,Chã Preta,AL,7863
-36.579,-9.632,Coité do Nóia,AL,9193
-35.725,-8.909,Colônia Leopoldina,AL,3907
-35.803,-9.638,Coqueiro Seco,AL,7137
-36.176,-10.126,Coruripe,AL,7244
-36.768,-9.618,Craíbas,AL,7131
-37.996,-9.386,Delmiro Gouveia,AL,2851
-37.101,-9.393,Dois Riachos,AL,8766
-36.76,-9.39,Estrela de Alagoas,AL,2193
-36.678,-9.9,Feira Grande,AL,2091
-36.306,-10.292,Feliz Deserto,AL,9870
-35.715,-9.273,Flexeiras,AL,5688
-36.829,-9.884,Girau do Ponciano,AL,9838
-35.939,-8.973,Ibateguara,AL,2715
-36.634,-9.537,Igaci,AL,6316
-36.662,-10.125,Igreja Nova,AL,771
-37.754,-9.219,Inhapi,AL,3338
-37.205,-9.636,Jacaré dos Homens,AL,3607
-35.46,-8.842,Jacuípe,AL,5864
-35.258,-9.088,Japaratinga,AL,6350
-37.002,-9.659,Jaramataia,AL,6011
-35.748,-9.133,Joaquim Gomes,AL,1792
-35.574,-8.935,Jundiá,AL,4251
-36.476,-9.925,Junqueiro,AL,4473
-36.738,-9.83,Lagoa da Canoa,AL,6227
-36.503,-9.741,Limoeiro de Anadia,AL,1949
-35.735,-9.666,Maceió,AL,8524
-36.985,-9.532,Major Isidoro,AL,2762
-36.388,-9.448,Mar Vermelho,AL,4290
-35.222,-9.012,Maragogi,AL,4531
-37.35,-9.236,Maravilha,AL,3763
-35.895,-9.71,Marechal Deodoro,AL,7260
-36.305,-9.577,Maribondo,AL,596
-37.734,-9.118,Mata Grande,AL,9931
-35.533,-9.152,Matriz de Camaragibe,AL,6233
-35.842,-9.383,Messias,AL,4603
-36.865,-9.305,Minador do Negrão,AL,5796
-37.248,-9.603,Monteirópolis,AL,81
-35.943,-9.307,Murici,AL,7306
-35.647,-8.915,Novo Lino,AL,9165
-37.294,-9.536,Olho d'Água das Flores,AL,3230
-37.832,-9.501,Olho d'Água do Casado,AL,1216
-36.817,-10.058,Olho d'Água Grande,AL,8631
-37.191,-9.519,Olivença,AL,7458
-37.357,-9.167,Ouro Branco,AL,6196
-37.329,-9.672,Palestina,AL,5263
-36.628,-9.407,Palmeira dos Índios,AL,6748
-37.437,-9.748,Pão de Açúcar,AL,2065
-38.006,-9.254,Pariconha,AL,4671
-35.552,-9.465,Paripueira,AL,9293
-35.493,-9.238,Passo de Camaragibe,AL,3747
-36.37,-9.366,Paulo Jacinto,AL,7107
-36.586,-10.29,Penedo,AL,2657
-36.434,-10.406,Piaçabuçu,AL,5572
-35.957,-9.597,Pilar,AL,7541
-36.29,-9.475,Pindoba,AL,8546
-37.757,-9.624,Piranhas,AL,1755
-37.286,-9.313,Poço das Trincheiras,AL,3026
-35.398,-9.045,Porto Calvo,AL,4824
-35.295,-9.158,Porto de Pedras,AL,5534
-36.84,-10.186,Porto Real do Colégio,AL,4628
-36.471,-9.319,Quebrangulo,AL,8184
-35.853,-9.478,Rio Largo,AL,8281
-35.978,-9.833,Roteiro,AL,5889
-35.822,-9.603,Santa Luzia do Norte,AL,974
-37.245,-9.378,Santana do Ipanema,AL,4995
-36.222,-9.168,Santana do Mundaú,AL,5465
-36.901,-10.128,São Brás,AL,2827
-36.058,-9.01,São José da Laje,AL,5759
-37.381,-9.558,São José da Tapera,AL,1980
-35.561,-9.318,São Luís do Quitunde,AL,6836
-36.094,-9.781,São Miguel dos Campos,AL,4654
-35.373,-9.266,São Miguel dos Milagres,AL,206
-36.554,-9.934,São Sebastião,AL,4567
-35.824,-9.563,Satuba,AL,1777
-37.507,-9.354,Senador Rui Palmeira,AL,9788
-36.433,-9.532,Tanque d'Arca,AL,7260
-36.497,-9.645,Taquarana,AL,8434
-36.353,-9.905,Teotônio Vilela,AL,317
-37.003,-9.971,Traipu,AL,1647
-36.032,-9.163,União dos Palmares,AL,9496
-36.241,-9.371,Viçosa,AL,2301
-64.804,-3.221,Alvarães,AM,8271
-68.198,-3.364,Amaturá,AM,2972
-61.404,-3.58,Anamã,AM,8478
-61.644,-3.773,Anori,AM,2510
-59.891,-7.197,Apuí,AM,6795
-70.192,-4.372,Atalaia do Norte,AM,4631
-59.131,-3.58,Autazes,AM,1231
-62.924,-0.975,Barcelos,AM,9596
-57.07,-2.793,Barreirinha,AM,6947
-70.031,-4.383,Benjamin Constant,AM,8136
-61.373,-3.898,Beruri,AM,8412
-57.59,-2.97,Boa Vista do Ramos,AM,8305
-67.398,-8.752,Boca do Acre,AM,2487
-59.594,-4.388,Borba,AM,444
-61.209,-3.328,Caapiranga,AM,7764
-64.383,-6.534,Canutama,AM,7303
-66.896,-4.883,Carauari,AM,8397
-60.369,-3.768,Careiro,AM,3924
-59.826,-3.221,Careiro da Várzea,AM,2523
-63.141,-4.085,Coari,AM,5745
-62.057,-3.837,Codajás,AM,1130
-69.874,-6.66,Eirunepé,AM,2704
-70.023,-7.433,Envira,AM,394
-66.092,-2.514,Fonte Boa,AM,8356
-72.584,-7.546,Guajará,AM,4132
-63.021,-7.506,Humaitá,AM,439
-71.695,-7.051,Ipixuna,AM,9211
-60.186,-3.285,Iranduba,AM,5796
-58.444,-3.143,Itacoatiara,AM,5502
-68.253,-6.425,Itamarati,AM,2323
-58.022,-2.749,Itapiranga,AM,7011
-66.599,-1.826,Japurá,AM,789
-66.069,-3.481,Juruá,AM,591
-66.767,-2.747,Jutaí,AM,3533
-64.798,-7.259,Lábrea,AM,1561
-60.621,-3.3,Manacapuru,AM,8789
-60.459,-3.428,Manaquiri,AM,1182
-60.025,-3.102,Manaus,AM,9754
-61.3,-5.809,Manicoré,AM,5909
-65.581,-1.856,Maraã,AM,5983
-57.719,-3.384,Maués,AM,4749
-56.713,-2.186,Nhamundá,AM,7480
-59.094,-3.888,Nova Olinda do Norte,AM,9818
-60.944,-2.621,Novo Airão,AM,7657
-60.38,-5.121,Novo Aripuanã,AM,9151
-56.736,-2.628,Parintins,AM,4374
-66.976,-7.714,Pauini,AM,9191
-60.025,-2.034,Presidente Figueiredo,AM,2773
-59.7,-2.699,Rio Preto da Eva,AM,6206
-65.019,-0.414,Santa Isabel do Rio Negro,AM,5293
-67.94,-3.102,Santo Antônio do Içá,AM,5687
-67.089,-0.13,São Gabriel da Cachoeira,AM,9944
-68.873,-3.378,São Paulo de Olivença,AM,9563
-57.871,-2.572,São Sebastião do Uatumã,AM,8241
-58.209,-2.839,Silves,AM,1540
-69.938,-4.253,Tabatinga,AM,7144
-63.183,-5.628,Tapauá,AM,3060
-64.711,-3.354,Tefé,AM,2904
-67.802,-2.873,Tonantins,AM,5241
-65.108,-2.99,Uarini,AM,7666
-57.76,-2.536,Urucará,AM,5475
-58.155,-3.131,Urucurituba,AM,520
-50.793,2.053,Amapá,AP,2138
-50.949,2.498,Calçoene,AP,8646
-50.802,0.986,Cutias,AP,3622
-51.18,0.858,Ferreira Gomes,AP,5756
-50.8,0.712,Itaubal,AP,9117
-52,-1.12,Laranjal do Jari,AP,2952
-51.066,0.039,Macapá,AP,4986
-51.289,-0.115,Mazagão,AP,495
-51.835,3.843,Oiapoque,AP,7914
-51.944,0.778,Pedra Branca do Amaparí,AP,2280
-51.413,0.713,Porto Grande,AP,9217
-50.791,1.743,Pracuúba,AP,5998
-51.182,-0.058,Santana,AP,508
-52.002,0.896,Serra do Navio,AP,4389
-50.912,1.506,Tartarugalzinho,AP,4479
-52.453,-0.805,Vitória do Jari,AP,9352
-41.664,-13.25,Abaíra,BA,2649
-39.115,-8.721,Abaré,BA,7185
-38.017,-11.662,Acajutiba,BA,909
-38.1,-10.533,Adustina,BA,8890
-38.767,-11.867,Água Fria,BA,733
-39.888,-14.129,Aiquara,BA,4508
-38.419,-12.136,Alagoinhas,BA,375
-39.196,-17.519,Alcobaça,BA,9702
-39.637,-14.705,Almadina,BA,2642
-39.605,-13.03,Amargosa,BA,6701
-38.757,-12.392,Amélia Rodrigues,BA,5146
-41.436,-11.455,América Dourada,BA,3500
