id,rate,output_data_fixa,input_data_fixa,rate_ue,output_ue,input_ue
3100104,-209,587,378,-219,601,382
3100203,-165,1496,1331,-412,1921,1509
3100302,-258,1193,935,-594,1633,1039
3100401,12,264,276,-162,472,310
3100500,-738,1049,311,-764,1163,399
3100609,-1281,1708,427,-1619,2085,466
3100708,87,54,141,123,30,153
3100807,152,116,268,134,184,318
3100906,-419,1354,935,-348,1447,1099
3101003,-213,456,243,-224,504,280
3101102,-100,950,850,-136,1112,976
3101201,-107,422,315,-130,494,364
3101300,-94,161,67,-221,303,82
3101409,66,23,89,80,30,110
3101508,-436,1012,576,-397,1096,699
3101607,922,2668,3590,925,3110,4035
3101631,330,130,460,289,209,498
3101706,-1099,3054,1955,-1160,3447,2287
3101805,341,364,705,294,471,765
3101904,163,571,734,48,756,804
3102001,138,452,590,55,601,656
3102050,150,485,635,196,553,749
3153509,-479,656,177,-497,713,216
3102100,-430,496,66,-540,628,88
3102209,-677,1193,516,-818,1492,674
3102308,-105,172,67,-128,213,85
3102407,-217,400,183,-215,418,203
3102506,135,795,930,93,923,1016
3102605,-259,558,299,-357,673,316
3102803,-47,449,402,-60,564,504
3102852,55,374,429,93,469,562
3102902,1,590,591,-65,803,738
3103009,-341,739,398,-323,804,481
3103108,-40,107,67,-7,124,117
3103207,-4,317,313,-62,408,346
3103306,44,34,78,15,67,82
3103405,-441,1346,905,-708,1714,1006
3103504,84,2751,2835,230,3153,3383
3103603,14,68,82,3,84,87
3103702,-59,344,285,-95,395,300
3103751,167,105,272,141,146,287
3103801,-40,218,178,-63,254,191
3103900,757,225,982,756,331,1087
3104007,-347,3755,3408,-533,4722,4189
3104106,68,148,216,112,137,249
3104205,527,1411,1938,721,1860,2581
3104304,311,471,782,236,577,813
3104403,7,182,189,-22,223,201
3104452,149,187,336,189,169,358
3104502,18,880,898,203,880,1083
3104601,51,528,579,35,662,697
3104700,-375,791,416,-510,990,480
3104809,-630,820,190,-500,743,243
3104908,-201,532,331,-244,652,408
3105004,61,501,562,-10,694,684
3105103,454,1064,1518,500,1215,1715
3105202,-207,340,133,-234,375,141
3105301,61,374,435,89,387,476
3105400,1048,1214,2262,973,1435,2408
3105509,-183,258,75,-234,321,87
3105608,-798,4872,4074,-757,5434,4677
3105707,-343,467,124,-414,563,149
3105905,-521,921,400,-357,871,514
3106002,139,440,579,71,552,623
3106101,-200,335,135,-153,304,151
3106200,-88236,169803,81567,-91048,188261,97213
3106309,602,1112,1714,478,1389,1867
3106408,9,369,378,-42,484,442
3106507,-403,505,102,-390,535,145
3106655,-111,249,138,-49,218,169
3106606,-49,156,107,-24,170,146
3106705,17295,14628,31923,21125,15274,36399
3106804,-110,244,134,-154,298,144
3106903,-183,872,689,-523,1262,739
3107000,-121,258,137,-90,236,146
3107109,-1404,2383,979,-1410,2622,1212
3107208,-160,188,28,-118,153,35
3107307,-1316,2638,1322,-1657,3408,1751
3107406,144,2435,2579,-302,3290,2988
3107505,-161,319,158,-187,350,163
3107604,46,215,261,31,305,336
3107703,59,335,394,21,424,445
3107802,71,1100,1171,-93,1460,1367
3107901,-68,333,265,-103,407,304
3108008,-964,1374,410,-997,1495,498
3108107,209,229,438,26,454,480
3108206,-406,699,293,-474,817,343
3108255,109,226,335,104,292,396
3108305,17,528,545,-76,732,656
3108404,68,436,504,-110,641,531
3108503,-277,434,157,-291,476,185
3108701,74,848,922,65,1031,1096
3108552,-1178,2130,952,-1323,2506,1183
3108602,-78,213,135,-145,294,149
3108909,-189,337,148,-186,400,214
3108800,-546,804,258,-432,829,397
3109006,1998,1641,3639,2326,1856,4182
3109105,-83,315,232,-163,421,258
3109204,-32,590,558,-223,987,764
3109253,108,159,267,7,259,266
3109303,268,762,1030,402,818,1220
3109402,-744,1716,972,-539,1841,1302
3109451,301,64,365,328,74,402
3109501,133,674,807,334,754,1088
3109600,-307,375,68,-166,347,181
3109709,103,407,510,105,530,635
3102704,60,105,165,35,113,148
3109808,361,756,1117,425,751,1176
3109907,-354,1943,1589,-530,2298,1768
3110004,291,81,372,216,224,440
3110103,61,174,235,-20,258,238
3110202,-44,785,741,-97,942,845
3110301,-295,375,80,-372,474,102
3110400,41,545,586,284,486,770
3110509,505,549,1054,726,694,1420
3110608,-22,521,499,-91,614,523
3110707,-73,287,214,-85,303,218
3110806,126,523,649,42,691,733
3110905,-411,1053,642,-479,1190,711
3111002,-743,1982,1239,-1057,2441,1384
3111101,-152,291,139,-154,319,165
3111150,-664,1888,1224,-951,2431,1480
3111200,-280,474,194,-189,467,278
3111309,412,441,853,504,467,971
3111408,-578,1255,677,-744,1471,727
3111507,-380,1355,975,-30,1578,1548
3111606,-385,613,228,-310,564,254
3111903,-229,845,616,-236,981,745
3111705,-116,317,201,-74,285,211
3111804,75,657,732,263,579,842
3112000,189,148,337,183,150,333
3112059,-162,473,311,-192,554,362
3112109,-202,300,98,-318,454,136
3112208,-840,2853,2013,-916,3268,2352
3112307,48,155,203,93,142,235
3112406,527,333,860,465,425,890
3112505,-714,1205,491,-913,1486,573
3112604,94,267,361,167,222,389
3112653,-418,1074,656,-785,1517,732
3112703,319,342,661,297,424,721
3112802,-179,540,361,-330,726,396
3112901,-597,1074,477,-604,1326,722
3113008,-228,363,135,-271,411,140
3113107,26,899,925,-44,1084,1040
3113206,-311,1607,1296,-312,1949,1637
3113305,-2113,6411,4298,-2823,8008,5185
3113404,-88,546,458,-77,545,468
3113503,-83,419,336,-88,457,369
3113602,-1054,1474,420,-1276,1813,537
3113701,-133,226,93,-118,249,131
3113800,-253,724,471,-302,967,665
3113909,35,505,540,-229,818,589
3114006,-264,653,389,-434,904,470
3114105,222,534,756,528,652,1180
3114204,-247,1417,1170,-392,1699,1307
3114303,-437,1009,572,-278,1039,761
3114402,670,527,1197,553,713,1266
3114501,-10,288,278,-150,422,272
3114550,-66,281,215,-47,346,299
3114600,-4,198,194,-35,248,213
3114709,-157,209,52,-119,206,87
3114808,-86,158,72,-108,184,76
3114907,160,242,402,104,298,402
3115003,72,516,588,57,571,628
3115102,0,147,147,-33,223,190
3115300,-385,2130,1745,-228,2467,2239
3115359,-252,571,319,-281,636,355
3115409,-128,254,126,-113,237,124
3115458,-491,773,282,-455,814,359
3115474,27,177,204,-1,240,239
3115508,-777,1426,649,-880,1638,758
3115607,-72,197,125,-93,259,166
3115706,-266,552,286,-302,638,336
3115805,-527,809,282,-567,913,346
3115904,114,109,223,125,118,243
3116001,30,288,318,2,315,317
3116100,-451,526,75,-492,585,93
3116159,381,422,803,610,490,1100
3116209,-10,98,88,17,91,108
3116308,-401,536,135,-459,638,179
3116407,18,109,127,99,59,158
3116506,-221,577,356,-398,776,378
3116605,240,802,1042,339,1155,1494
3116704,31,415,446,74,450,524
3116803,-251,612,361,-187,639,452
3116902,-2,280,278,44,243,287
3117009,-116,299,183,-120,336,216
3117108,-30,426,396,64,457,521
3115201,-15,81,66,-22,107,85
3117306,-18,1165,1147,66,1233,1299
3117207,-221,534,313,-277,629,352
3117405,-422,1184,762,-440,1414,974
3117504,419,235,654,455,256,711
3117603,113,253,366,24,354,378
3117702,148,280,428,90,411,501
3117801,-71,189,118,-88,233,145
3117836,427,154,581,257,331,588
3117876,223,316,539,193,462,655
3117900,263,2066,2329,491,2321,2812
3118007,-334,428,94,-435,535,100
3118106,-29,385,356,-89,488,399
3118205,2586,2964,5550,2573,3753,6326
3118304,46,1227,1273,-205,1810,1605
3118403,50,92,142,54,114,168
3118502,15119,29580,44699,19877,32531,52408
3118601,-289,775,486,-312,847,535
3118700,-1451,2369,918,-1845,3017,1172
3118809,-188,879,691,-308,1108,800
3118908,37,231,268,11,251,262
3119005,-1239,2386,1147,-1544,2965,1421
3119104,-144,725,581,-126,811,685
3119203,-375,1607,1232,-653,2091,1438
3119302,58,4973,5031,168,5968,6136
3119401,-377,586,209,-473,754,281
3119500,-68,339,271,41,238,279
3119609,-2,131,129,2,155,157
3119708,8,219,227,-8,243,235
3119807,-115,222,107,-131,253,122
3119906,17,141,158,128,83,211
3119955,-288,492,204,-406,646,240
3120003,61,179,240,7,250,257
3120102,-163,417,254,-85,441,356
3120151,382,367,749,408,441,849
3120201,-31,181,150,7,178,185
3120300,-47,331,284,9,279,288
3120409,-89,346,257,-210,492,282
3120508,253,262,515,77,445,522
3120607,-145,371,226,-242,495,253
3120706,51,556,607,76,644,720
3120805,170,174,344,220,127,347
3120839,96,234,330,78,263,341
3120870,-634,4114,3480,-802,4968,4166
3120904,-118,422,304,-134,445,311
3121001,-89,390,301,-132,401,269
3121100,-26,230,204,-53,270,217
3121209,212,296,508,360,302,662
3121258,7,261,268,-3,259,256
3121308,-119,337,218,-68,387,319
3121407,-85,187,102,-8,182,174
3121506,-2359,4183,1824,-2935,5324,2389
