origin,destination,count
3100104,3103504,22
3100104,3104007,8
3100104,3119302,96
3100104,3123502,15
3100104,3131604,7
3100104,3138104,2
3100104,3143104,131
3100104,3148103,19
3100104,3149804,6
3100104,3153400,14
3100104,3157708,4
3100104,3162203,4
3100104,3170107,19
3100104,3170206,254
3100203,3102852,11
3100203,3106200,408
3100203,3107406,48
3100203,3108552,6
3100203,3109303,8
3100203,3110004,10
3100203,3115607,59
3100203,3118106,5
3100203,3118601,121
3100203,3119302,11
3100203,3120151,3
3100203,3122306,134
3100203,3122470,12
3100203,3123205,26
3100203,3125705,25
3100203,3129707,11
3100203,3130200,5
3100203,3131000,3
3100203,3131109,2
3100203,3132107,5
3100203,3134400,11
3100203,3134608,3
3100203,3136207,8
3100203,3137536,16
3100203,3137601,9
3100203,3138302,10
3100203,3140506,78
3100203,3140704,8
3100203,3141108,12
3100203,3143302,14
3100203,3143500,47
3100203,3145000,17
3100203,3145208,266
3100203,3145604,24
3100203,3145802,5
3100203,3146404,80
3100203,3146503,17
3100203,3147006,8
3100203,3147105,60
3100203,3148004,9
3100203,3149705,4
3100203,3151404,12
3100203,3152006,60
3100203,3153707,51
3100203,3154457,6
3100203,3154606,9
3100203,3156700,7
3100203,3160405,10
3100203,3161601,19
3100203,3161700,3
3100203,3161809,8
3100203,3162922,18
3100203,3163102,3
3100203,3164308,6
3100203,3164605,3
3100203,3166600,13
3100203,3167202,9
3100203,3168903,28
3100203,3170206,8
3100203,3170404,25
3100203,3171105,4
3100302,3102308,24
3100302,3106200,214
3100302,3106705,89
3100302,3107802,5
3100302,3109253,3
3100302,3112505,6
3100302,3112901,24
3100302,3113305,20
3100302,3113404,48
3100302,3118601,91
3100302,3121803,8
3100302,3122009,19
3100302,3122702,13
3100302,3127305,2
3100302,3129806,16
3100302,3131307,44
3100302,3135506,16
3100302,3136207,72
3100302,3136603,6
3100302,3136702,98
3100302,3137601,13
3100302,3138203,26
3100302,3138674,5
3100302,3139409,109
3100302,3139508,10
3100302,3140001,50
3100302,3140902,173
3100302,3141207,10
3100302,3142106,6
3100302,3144805,10
3100302,3145851,7
3100302,3146107,17
3100302,3147501,1
3100302,3148756,21
3100302,3149002,2
3100302,3152105,11
3100302,3153509,7
3100302,3154002,133
3100302,3154309,5
3100302,3154606,14
3100302,3154903,12
3100302,3157906,15
3100302,3160108,36
3100302,3164001,16
3100302,3166303,74
3100302,3170503,23
3100302,3171204,9
3100401,3105707,26
3100401,3106200,82
3100401,3118601,21
3100401,3121704,11
3100401,3128204,10
3100401,3131703,10
3100401,3131901,27
3100401,3135407,2
3100401,3140001,240
3100401,3152105,8
3100401,3156809,6
3100401,3157807,8
3100401,3161007,6
3100401,3172004,15
3100500,3106200,59
3100500,3106309,115
